id,Masa,Longitud_tarso,Longitud_ala,Longitud_pico,Longitud_pluma_interior_de_la_cola,Longitud_pluma_exterior_de_la_cola,target
2012-08-19-A03,11.2,11.7,13,8.5,NA,NA,1
2012-08-19-D06,10.2,12,11,8.7,NA,NA,1
2012-08-19-E16,11.6,12,13,8.6,NA,NA,1
2012-08-20-A03,12.4,NA,NA,NA,NA,NA,2
2012-08-20-D06,11,NA,NA,NA,NA,NA,2
2012-08-20-E14,10.4,12.1,14,7.7,NA,NA,1
2012-08-20-E16,14.5,NA,NA,NA,NA,NA,2
2012-08-21-A03,13.7,NA,NA,NA,NA,NA,3
2012-08-21-D05,10,13.1,14,8.5,NA,NA,1
2012-08-21-D06,12.6,NA,NA,NA,NA,NA,3
2012-08-21-E14,11.3,12.7,14,8,NA,NA,2
2012-08-21-E16,16.9,NA,NA,NA,NA,NA,3
2012-08-22-A03,12.6,13.8,14,9,NA,NA,4
2012-08-22-B12,9.5,11.5,11,8.3,NA,NA,1
2012-08-22-D05,10,NA,NA,NA,NA,NA,2
2012-08-22-D06,16.6,13.8,14,9.1,NA,NA,4
2012-08-22-E14,13.3,NA,NA,NA,NA,NA,3
2012-08-22-E16,16.4,13.3,15,10.1,NA,NA,4
2012-08-23-A03,15.3,NA,NA,NA,NA,NA,5
2012-08-23-B13,9.3,12.3,13,8.6,NA,NA,1
2012-08-23-D05,10,NA,NA,NA,NA,NA,3
2012-08-23-D06,14.2,NA,NA,NA,NA,NA,5
2012-08-23-E14,15,14.2,14,8.8,NA,NA,4
2012-08-23-E16,20.9,NA,NA,NA,NA,NA,5
2012-08-24-A03,18.3,NA,NA,NA,NA,NA,6
2012-08-24-B12,15.6,NA,NA,NA,NA,NA,3
2012-08-24-D05,11.4,13.6,14,8.6,NA,NA,4
2012-08-24-D06,17.5,NA,NA,NA,NA,NA,6
2012-08-24-E14,13.4,NA,NA,NA,NA,NA,5
2012-08-24-E16,18,NA,NA,NA,NA,NA,6
2012-08-24-E17,8,12.8,13,8.4,NA,NA,1
2012-08-24-F06,7.9,12.5,13,7.8,NA,NA,1
2012-08-25-A03,15.7,15.8,15,9.2,NA,NA,7
2012-08-25-B06,9.8,12.3,14,8.1,NA,NA,1
2012-08-25-B12,17.4,NA,NA,NA,NA,NA,4
2012-08-25-D05,10.4,NA,NA,NA,NA,NA,5
2012-08-25-D06,14.8,14.5,14,9.7,NA,NA,7
2012-08-25-E14,15.4,13.9,14,8.8,NA,NA,6
2012-08-25-E16,22.1,15.5,16,10.3,NA,NA,7
2012-08-25-E17,9.6,13,13,8.6,NA,NA,2
2012-08-25-F06,10.4,12.5,13,8.6,NA,NA,2
2012-08-26-A03,21.7,NA,NA,NA,NA,NA,8
2012-08-26-B06,10.1,NA,NA,NA,NA,NA,2
2012-08-26-B12,18.4,NA,NA,NA,NA,NA,5
2012-08-26-D05,10.5,NA,NA,NA,NA,NA,6
2012-08-26-D06,21.4,NA,NA,NA,NA,NA,8
2012-08-26-E14,18.6,14.1,14,9.1,NA,NA,7
2012-08-26-E16,24.9,NA,NA,NA,NA,NA,8
2012-08-26-E17,9.8,NA,NA,NA,NA,NA,3
2012-08-26-F06,9.6,NA,NA,NA,NA,NA,3
2012-08-27-A03,22.7,NA,NA,NA,NA,NA,9
2012-08-27-B06,9.7,NA,NA,NA,NA,NA,3
2012-08-27-B12,21.4,13.3,14,9,NA,NA,6
2012-08-27-B13,22.5,14.6,16,9.6,NA,NA,5
2012-08-27-D05,11.5,12.8,13,8.5,NA,NA,7
2012-08-27-D06,22.4,NA,NA,NA,NA,NA,9
2012-08-27-E14,18.3,NA,NA,NA,NA,NA,8
2012-08-27-E16,25.7,NA,NA,NA,NA,NA,9
2012-08-27-E17,10.1,12.9,13,9.1,NA,NA,4
2012-08-27-F06,9.2,12.6,12,8.7,NA,NA,4
2012-08-28-A03,29.2,16.1,15,10.2,NA,NA,10
2012-08-28-B06,14.6,13,13,8.2,NA,NA,4
2012-08-28-B12,22.1,NA,NA,NA,NA,NA,7
2012-08-28-B13,19.3,NA,NA,NA,NA,NA,6
2012-08-28-D05,14.7,NA,NA,NA,NA,NA,8
2012-08-28-D06,27.8,16.4,13,9.7,NA,NA,10
2012-08-28-E14,22,NA,NA,NA,NA,NA,9
